Collecting system stats...
top - 00:29:25 up 2 days,  7:40,  0 users,  load average: 3.56, 4.12, 4.30
Tasks: 138 total,   3 running, 135 sleeping,   0 stopped,   0 zombie
%Cpu(s): 92.9 us,  7.1 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3876.5 total,   1374.1 free,   1362.2 used,   1140.2 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   2309.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 123654 root      20   0   44760  35628   7524 S   0.0   0.9   0:00.42 miniser+
 146938 root      20   0       0      0      0 I   0.0   0.0   0:00.24 kworker+
 146939 root      20   0       0      0      0 I   0.0   0.0   0:00.27 kworker+
 149650 root      20   0       0      0      0 I   0.0   0.0   0:00.27 kworker+
 160438 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker+
 166522 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
 167521 root      20   0  709120  59460  35552 S   0.0   1.5   0:01.30 npm sta+
 167534 root      20   0    2892    964    872 S   0.0   0.0   0:00.05 sh
 167535 root      20   0  599116  48780  33444 S   0.0   1.2   0:00.61 node
 169362 root      20   0    2892    984    888 S   0.0   0.0   0:00.00 sh
 169363 root      20   0    4364   3348   3076 S   0.0   0.1   0:00.05 update_+
 170181 root      20   0  708728  57984  35624 S   0.0   1.5   0:00.92 npm sta+
 170192 root      20   0    2896    944    848 S   0.0   0.0   0:00.00 sh
 170193 root      20   0  591244  40388  31832 S   0.0   1.0   0:00.25 node
 170200 root      20   0   32.0g 260200  34752 S   0.0   6.6   0:09.45 node
 170284 root      20   0    2892   1004    908 S   0.0   0.0   0:00.00 sh
 170285 root      20   0    4364   3328   3060 S   0.0   0.1   0:00.00 update_+
 170745 root      20   0   31132  17744   5476 S   0.0   0.4   0:00.01 gunicorn
 170748 root      20   0    2892    996    900 S   0.0   0.0   0:00.00 sh
 170749 root      20   0    4364   3308   3036 S   0.0   0.1   0:00.00 update_+
 170756 root      20   0  708776  58352  35852 S   0.0   1.5   0:00.63 npm run+
 170794 root      20   0    2896    956    860 S   0.0   0.0   0:00.00 sh
 170800 root      20   0  591216  40084  31580 S   0.0   1.0   0:00.10 node
 170824 root      20   0  709092  58708  35776 S   0.0   1.5   0:01.01 npm run+
 170835 root      20   0    2896    948    848 S   0.0   0.0   0:00.00 sh
 170836 root      20   0  591112  39840  31436 S   0.0   1.0   0:00.20 node
 170850 root      20   0    2892   1004    912 S   0.0   0.0   0:00.00 sh
 170851 root      20   0    4496   3492   3092 S   0.0   0.1   0:00.00 bash
 170854 root      20   0    4364   1540   1256 S   0.0   0.0   0:00.00 bash
 170856 root      20   0    2796   1032    944 S   0.0   0.0   0:00.00 tee
 170863 root      20   0    2892   1060    968 S   0.0   0.0   0:00.00 sh
 170864 root      20   0    4364   3232   2964 S   0.0   0.1   0:00.00 update_+
 171228 root      20   0    7368   3440   2844 R   0.0   0.1   0:00.00 top
Filesystem      Size  Used Avail Use% Mounted on
tmpfs           388M  1.1M  387M   1% /run
/dev/vda1        97G  5.1G   92G   6% /
tmpfs           1.9G   28K  1.9G   1% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
/dev/vda15      105M  6.1M   99M   6% /boot/efi
               total        used        free      shared  buff/cache   available
Mem:            3876        1362        1374          17        1140        2309
Swap:              0           0           0
